ID,Edad,Ingresos,Categoria,Comentario
1,25.0,30000.0,Tecnologia,El celular es rapido y la bateria dura mucho
2,35.0,45000.0,Hogar,Buen producto pero llego roto
3,35.0,29000.0,Tecnologia,Excelente celular me encanta
4,42.0,60000.0,Tecnologia,No recomiendo este producto pesimo servicio
5,28.0,32000.0,Ropa,Muy bonito pero la talla es pequeña
6,35.0,29000.0,Hogar,El producto funciona bien
7,50.0,75000.0,Tecnologia,Rapido y eficiente excelente compra
8,35.0,40000.0,Tecnologia,Abriga mucho y el diseño es moderno
9,22.0,28000.0,Ropa,La tela es de mala calidad
10,45.0,29000.0,Hogar,Muy util para la cocina
11,35.0,55000.0,Tecnologia,No encendia y tuve que devolverlo
12,31.0,38000.0,Tecnologia,El envio fue rapidisimo
13,29.0,42000.0,Ropa,Me quedo perfecto excelente talla
14,35.0,29000.0,Tecnologia,Funciona perfecto pero es muy caro
15,55.0,80000.0,Tecnologia,Abriga mucho y el diseño es moderno
16,38.0,48000.0,Hogar,Se rompio al primer uso pesima calidad
17,26.0,31000.0,Ropa,Llego el color equivocado
18,41.0,29000.0,Tecnologia,La pantalla es increible muy buen celular
19,33.0,50000.0,Hogar,Facil de armar y muy practico
20,35.0,29000.0,Tecnologia,Buen celular pero camara regular
21,48.0,62000.0,Deporte,Las zapatillas son muy comodas para correr
22,19.0,29000.0,Tecnologia,La bateria no dura nada decepcion total
23,36.0,45000.0,Hogar,Abriga mucho y el diseño es moderno
24,35.0,58000.0,Ropa,Abriga mucho y el diseño es moderno
25,27.0,34000.0,Tecnologia,El pedido tardo un mes en llegar inaceptable
26,52.0,29000.0,Hogar,Cumple su funcion sin mas
27,30.0,41000.0,Deporte,Material resistente y buen agarre
28,24.0,29000.0,Tecnologia,Se calienta demasiado al jugar
29,35.0,29000.0,Ropa,Me enviaron una talla que no pedi
30,40.0,70000.0,Hogar,Excelente relacion calidad precio
31,34.0,53000.0,Tecnologia,El teclado es incomodo pero el raton esta bien
32,35.0,38000.0,Tecnologia,Abriga mucho y el diseño es moderno
33,28.0,29000.0,Ropa,Se encogio en el primer lavado
34,45.0,61000.0,Deporte,Perfecto para entrenar en casa
35,50.0,72000.0,Hogar,No calienta lo suficiente
36,21.0,25000.0,Tecnologia,Me encanta el color y el diseño
37,35.0,29000.0,Ropa,Costuras mal hechas muy mala calidad
38,39.0,49000.0,Tecnologia,Servicio al cliente nefasto no contestan
39,32.0,29000.0,Deporte,La cuerda es muy corta
40,47.0,65000.0,Tecnologia,Actualizacion lenta pero en general bien
41,26.0,33000.0,Hogar,Ocupa mucho espacio en la cocina
42,29.0,40000.0,Ropa,Tela suave y muy comoda
43,35.0,55000.0,Deporte,Vino con una pieza faltante
44,37.0,29000.0,Tecnologia,La calidad de imagen es espectacular
45,53.0,78000.0,Hogar,Silencioso y potente lo recomiendo
46,23.0,27000.0,Juguetes,No vale lo que cuesta muy caro
47,35.0,29000.0,Ropa,El estampado se borro rapido
48,35.0,46000.0,Deporte,Muy buen producto para el precio
49,42.0,63000.0,Tecnologia,Fallo a los dos dias de uso
50,31.0,44000.0,Hogar,Abriga mucho y el diseño es moderno
